"user","number_of_classifications","variation","unique_count","new_image_count"
286,40,0.0862068965517241,0,40
116,51,0.957473991266232,0,51
5,33,1.12994350282486,0,32
141,30,1.60981496105877,0,30
190,50,1.8037062953198,0,48
153,95,1.9476760113418,0,92
180,161,1.9735844234933,0,151
223,70,1.99381103753025,0,63
203,52,2.0049299424047,0,44
355,6567,2.19423719444389,1068,6018
176,71,3.14978171998195,2,12
161,72,3.34339954355446,1,9
111,5722,3.37598368831272,314,671
351,126,5.31347157504467,2,7
332,85,5.68749937070053,4,11
52,1818,6.17925370406104,3,13
30,2366,6.98798999480243,32,97
350,501,7.2747286911627,10,17
250,1458,7.47641209727305,10,23
377,69,7.65763473704699,2,5
246,134,8.43208253398622,31,40
173,46,8.54404816955424,4,4
187,78,9.09952084440117,1,2
207,340,9.82256790834445,1,2
363,129,9.97279458041363,0,3
362,133,11.1776170037054,18,25
281,3058,12.2464497841064,209,229
319,549,12.8412132132664,84,84
327,203,17.4317864557472,2,2
199,30,18.8237639553429,4,4
271,25,100,1,1
